RACE,DATE,CLASS,DIST,SURF,FIN,STARTER NAME,ODDS,FAV,JOCKEY,TRAINER,SIRE,BR-SIRE,TIME,EQB COMMENT,PREV RACE DATE,PREV TRACK,PREV RACE #,WATCH
2,7/21/2017,MSW-F-NY,5.5,T,1,Beaux Arts,2.55,Y,Angel Arroyo,Russell Cash,Freud,Sefapiano,01:04.3,"ins,ask 3/16,held late",6/23/2017,MTH,8,
2,7/21/2017,MSW-F-NY,5.5,T,2,Lady of Miracles,7.6,,Eric Cancel,Michael Miceli,Tueflesberg,Smart Strike,01:04.5,"2w,5p 1/8,good energy",,,,
2,7/21/2017,MSW-F-NY,5.5,T,3,Wanda Fay,3.25,,Jose Ortiz,Michael Maker,Orientate,Broken Vow,01:04.7,"pocket to 1/8,outkick",7/1/2017,BEL,5,
2,7/21/2017,MSW-F-NY,5.5,T,4,Scatback,2.6,,Joel Rosario,Carlos Martin,Scat Daddy,Came Home,01:05.0,"3w & pull left,4w 1/8",,,,
2,7/21/2017,MSW-F-NY,5.5,T,5,Centr of the Stage,11,,"Irad Ortiz, Jr.",Rudy Rodriguez,Algorithms,Yonaguska,01:05.4,"unsettle 9/16,2w,5p1/8",6/22/2017,BEL,4,
2,7/21/2017,MSW-F-NY,5.5,T,6,Misty Forest,9.5,,Rajiv Maragh,John Kimmel,Graydar,Forest Wildcat,01:05.6,"quick to rail,3w upper",,,,
2,7/21/2017,MSW-F-NY,5.5,T,7,Willie U,16.4,,Luis Saez,Michael Lauer,Utopia,Scatmandu,01:05.8,"stalked 2p,drive 5/16",6/22/2017,BEL,4,
2,7/21/2017,MSW-F-NY,5.5,T,8,Wavy Baby,39,,"Samuel Camacho, Jr.",James Ryerson,Afleet Alex,Bates Motel,01:06.2,"lite bump brk,3w turn",6/22/2017,BEL,4,
2,7/21/2017,MSW-F-NY,5.5,T,9,Frosty Wolf,35.25,,Luis Reyes,Leo O'Brien,Frost Giant,Street Cry (IRE),01:06.2,"shy&stdied 9/16,4w trn",7/1/2017,BEL,5,
5,7/21/2017,MSW-F,5.5,D,1,Southampton Way,9.4,,"Ricardo Santana, Jr.",Horacio DePaz,Into Mischief,Not for Love,01:06.5,"3w upper, inched away",5/25/2017,PIM,5,
5,7/21/2017,MSW-F,5.5,D,2,Purrfect Miss,53.25,,Manuel Franco,Jeremiah Englehart,Discreet Cat,Grand Slam,01:06.7,"steadied st, rebuffed",,,,
5,7/21/2017,MSW-F,5.5,D,3,More Mojo,6.6,,Luis Saez,Brad Cox,More Than Ready,Silver Charm,01:07.0,"brushed gate, kept on",,,,
5,7/21/2017,MSW-F,5.5,D,4,Crimson Creed,9.6,,Junior Alvarado,Ingrid Mason,Jimmy Creed,Forest Wildcat,01:08.0,"chased 3-4w, improved",,,,
5,7/21/2017,MSW-F,5.5,D,5,Sunny's Funny,12.5,,Florent Geroux,Steven Asmussen,Discreetly Mine,Mr. Greeley,01:08.2,"awkward st, greenly",6/16/2017,CD,3,
5,7/21/2017,MSW-F,5.5,D,6,Amazing Belle,4,,Joel Rosario,Mark Casse,Midnight Lute,Betrando,01:08.2,"veered in st, tired",6/16/2017,BEL,6,
5,7/21/2017,MSW-F,5.5,D,7,Honey Glow,1.1,Y,John Velazquez,Todd Pletcher,Speightstown,A.P. Indy,01:09.3,"broke out st, tired",,,,
5,7/21/2017,MSW-F,5.5,D,8,Kickin Kimberly,28.5,,"Irad Ortiz, Jr.",Rudy Rodriguez,Eskendereya,Unbridled's Song,01:09.5,"bumped st, greenly",,,,
5,7/21/2017,MSW-F,5.5,D,9,Sororitysweetheart,29,,Jose Ortiz,Michelle Nevin,Discreetly Mine,Saarland,01:09.6,"bumped, steadied st",,,,
5,7/21/2017,MSW-F,5.5,D,10,Country Affair,25.25,,Javier Castellano,D. Wayne Lukas,Uncle Mo,Street Cry (IRE),01:11.6,"chased 5-4w, gave way",,,,
8,7/21/2017,GRD-F,6,D,1,Dream It Is,4.5,,Luis Contreras,Barbara Minshall,Shackleford,Medaglia d'Oro,01:11.9,"2w,lug in 1/8-1/16pl",6/24/2017,WO,8,Y
8,7/21/2017,GRD-F,6,D,2,Best Performance,4.2,,Jose Ortiz,Christophe Clement,Broken Vow,Smart Strike,01:13.3,"ins,to 4p5/16,no match",6/8/2017,BEL,5,
8,7/21/2017,GRD-F,6,D,3,Stainless,4.3,,John Velazquez,Todd Pletcher,Flatter,Unbridled's Song,01:13.9,"to 5p 5/16,6-7w 1/8",5/29/2017,GP,8,
8,7/21/2017,GRD-F,6,D,4,Snowfire,2.35,Y,Julien Leparoux,Mark Casse,Tapit,Maria's Mon,01:14.1,"unsettle 1/2,2w,ask1/4",6/29/2017,CD,1,
8,7/21/2017,GRD-F,6,D,5,Buy Sell Hold,6.5,,Florent Geroux,Steven Asmussen,Violence,Unbridled's Song,01:14.4,"btwn to 7/16,duel ins",5/4/2017,CD,10,
8,7/21/2017,GRD-F,6,D,6,Pacific Gale,31.25,,Christopher DeCarlo,John Kimmel,Flat Out,Forestry,01:14.5,"chased 2-3w, gave way",6/29/2017,BEL,3,
8,7/21/2017,GRD-F,6,D,7,Laudation,12.7,,Javier Castellano,Steven Asmussen,Congrats,Vicar,01:14.9,"2w early,angled 3p5/16",6/24/2017,CD,4,
8,7/21/2017,GRD-F,6,D,8,Mel's Gone Wild,9.2,,Kendrick Carmouche,Kathleen Demasi,Wildcat Heir,Vindication,01:17.2,"rail,ins duo to 7/16pl",6/17/2017,PRX,1,
3,7/22/2017,MSW,8.5,T,1,Untamed Domain,1.25,Y,Jose Ortiz,H. Graham Motion,Animal Kingdom,Lear Fan,01:44.2,"ins,check3/8,6w upr",7/2/2017,LRL,6,
3,7/22/2017,MSW,8.5,T,2,Another,10,,Junior Alvarado,William Mott,Soldat,Tapit,01:44.5,"2w & btwn 6F,4w upper",,,,Y
3,7/22/2017,MSW,8.5,T,3,Linburgh's Kitten,4.8,,John Velazquez,Wesley Ward,Kitten's Joy,Pulpit,01:44.6,"ins,2w upr,nail fin70",5/23/2017,IND,4,
3,7/22/2017,MSW,8.5,T,4,Infield Is In,28.75,,Jose Lezcano,Richard Metivier,First Samurai,Not For Love,01:45.1,"2w,stalk winner,tired",7/9/2017,BEL,2,
3,7/22/2017,MSW,8.5,T,5,Honorable Treasure,9.5,,Robby Albarado,Kenneth McPeek,To Honor and Serve,Dixie Union,01:45.2,"ins,clear rail 3/16pl",,,,
3,7/22/2017,MSW,8.5,T,6,Johnny Action,4.7,,Javier Castellano,Todd Pletcher,Street Sense,Harlan's Holiday,01:45.2,"3w both turns, empty",,,,
3,7/22/2017,MSW,8.5,T,7,Pete Marwick,4.4,,Julien Leparoux,Kenneth McPeek,Soldat,Congrats,01:45.8,"3w & pull 1st, no bids",6/14/2017,BEL,2,
5,7/22/2017,MSW,5.5,D,1,Sporting Chance,3.4,,Luis Saez,D. Wayne Lukas,Tiznow,Candy Ride (ARG),01:04.7,"vied 2w, kept busy",6/15/2017,CD,4,Y
5,7/22/2017,MSW,5.5,D,2,Givemeaminit,23.7,,Joel Rosario,Dallas Stewart,Star Guitar,Turkoman,01:05.1,"2-3w,6p late,gd energy",,,,
5,7/22/2017,MSW,5.5,D,3,Ezmosh,8.5,,Javier Castellano,Brad Cox,Tizway,Fusaichi Pegasus,01:05.9,"ins duo early,held shw",,,,
5,7/22/2017,MSW,5.5,D,4,Bourbon Currency,13.4,,Rajiv Maragh,John Kimmel,Speightstown,Tiznow,01:06.0,"ins to1/4,2w upr,empty",,,,
5,7/22/2017,MSW,5.5,D,5,Get the Facts,6.8,,Julien Leparoux,Mark Casse,Tapit,Limehouse,01:06.2,"hit gate,green trn&upr",,,,
5,7/22/2017,MSW,5.5,D,6,Tap Daddy,9.5,,Florent Geroux,Steven Asmussen,Scat Daddy,Tapit,01:06.3,near ins & urged turn,,,,
5,7/22/2017,MSW,5.5,D,7,Machismo,0.95,Y,John Velazquez,Todd Pletcher,More Than Ready,Smart Strike,01:06.9,3w vs winner to 5/16,,,,
5,7/22/2017,MSW,5.5,D,8,Mr. Discretionary,58.75,,Robby Albarado,Kenneth McPeek,Discreet Cat,Devil His Due,01:07.9,"2w turn,5p 3/16,outrun",,,,
9,7/22/2017,GRD,6,D,1,Firenze Fire,12.5,,"Irad Ortiz, Jr.",Jason Servis,Poseidon's Warrior,Langfuhr,01:11.5,"3w run turn,ask 1/8pl",6/18/2017,MTH,5,
9,7/22/2017,GRD,6,D,2,Free Drop Billy,3.3,Y,Robby Albarado,Dale Romans,Union Rags,Giant's Causeway,01:11.7,"brsh st,slip2w5/16,4w",6/15/2017,CD,2,
9,7/22/2017,GRD,6,D,3,Psychoanalyze,4.3,,Luis Saez,Brian Lynch,Overanalyze,Freud,01:12.5,"pocket,2w upr,outkick",6/14/2017,BEL,2,
9,7/22/2017,GRD,6,D,4,Baffin,3.95,,"Ricardo Santana, Jr.",Steven Asmussen,Justin Phillip,Foxhound,01:12.7,"ins,ask 1/8,gave way",6/22/2017,CD,3,
9,7/22/2017,GRD,6,D,5,Bal Harbour,9.2,,John Velazquez,Todd Pletcher,First Samurai,Carson City,01:12.7,"near ins, had no rally",6/8/2017,GP,5,
9,7/22/2017,GRD,6,D,6,Admiral Jimmy,5,,Javier Castellano,Todd Pletcher,Jimmy Creed,Bernardini,01:13.0,"brush brk,2w,7p late",6/9/2017,BEL,5,
9,7/22/2017,GRD,6,D,7,Direct Dial,4.2,,Jose Ortiz,Steven Asmussen,Too Much Bling,Mineshaft,01:14.1,"2w,wknd3/8,bump 1/8",6/9/2017,BEL,5,
9,7/22/2017,GRD,6,D,8,Nauti Buoy,20.2,,Tyler Conner,Erin McClellan,Mizzen Mast,Barkerville,01:14.3,"4w,lug in upr,bmp 1/8",7/2/2017,LRL,6,
1,7/23/2017,MSW-F,8.5,T,1,Orbolution,3.65,,John Velazquez,Todd Pletcher,Orb,Horse Chestnut (SAF),01:42.4,"to 2p 3/16, edged clr",5/25/2017,BEL,1,
1,7/23/2017,MSW-F,8.5,T,2,Miss Mo Mentum,5.1,,Joel Rosario,Mark Casse,Uncle Mo,Mineshaft,01:42.8,"3w upper, willingly",7/2/2017,GP,9,
1,7/23/2017,MSW-F,8.5,T,3,Sweet Bye and Bye,6.1,,"Irad Ortiz, Jr.",Anthony Dutrow,Sky Mesa,Maria's Mon,01:43.2,"in hand 2p, wknd late",,,,
1,7/23/2017,MSW-F,8.5,T,4,Bird Key,29.5,,Florent Geroux,Gary Contessa,Union Rags,Malibu Moon,01:43.5,"3w upper, improved",,,,
1,7/23/2017,MSW-F,8.5,T,5,You People,4.6,,Jose Ortiz,William Mott,Lonhro (AUS),Aldebaran,01:43.8,"steady advance, wknd",,,,
1,7/23/2017,MSW-F,8.5,T,6,Our Girl Abby,8.6,,Julien Leparoux,Michael Maker,Majestic Warrior,Forest Wildcat,01:43.9,"attended 3-2w, wknd",6/29/2017,CD,1,
1,7/23/2017,MSW-F,8.5,T,7,Kitty Kat Kate,3.05,Y,Luis Saez,Wesley Ward,Scat Daddy,Skywalker,01:44.2,"3w 1st turn, 4w upper",6/16/2017,BEL,6,
1,7/23/2017,MSW-F,8.5,T,8,Sureis,16.6,,Manuel Franco,John Kimmel,Colonel John,Lord at War (ARG),01:44.4,"bump after st, tired",,,,
1,7/23/2017,MSW-F,8.5,T,9,Queen Courage,81.75,,Luis Reyes,Naipaul Chatterpaul,Courageous Cat,Summer Squall,01:44.9,"3w upper, tired",6/22/2017,BEL,4,
1,7/23/2017,MSW-F,8.5,T,10,Road of Honor,20.8,,Dylan Davis,Kenneth McPeek,Quality Road,Unbridled,01:45.0,"bobbled, hit gate st",6/24/2017,CD,4,
6,7/24/2017,AOC-F,5.5,D,1,Sugar Queen,2.5,,John Velazquez,Todd Pletcher,Gemologist,Indian Charlie,01:07.2,"to 5p 3/16, edged clr",6/8/2017,BEL,5,
6,7/24/2017,AOC-F,5.5,D,2,On the Hop,12.7,,Jose Lezcano,Joan Scott,Artie Schiller,Street Cry (IRE),01:07.8,"4-3w pursuit, ran on",6/16/2017,IND,6,
6,7/24/2017,AOC-F,5.5,D,3,Tudox Lifting Off,7.9,,"Ricardo Santana, Jr.",Ron Potts,Warrior's Reward,Discreet Cat,01:08.1,"chased 3-2w, mild kick",7/4/2017,PID,3,
6,7/24/2017,AOC-F,5.5,D,4,Princess Peggy,1.7,Y,Jose Ortiz,Wesley Ward,Scat Daddy,Kafwain,01:08.5,"5-6w uppr, by tired",6/23/2017,ASC,,
6,7/24/2017,AOC-F,5.5,D,5,Schianti,2.25,,Joe Bravo,Wesley Ward,Distorted Humor,Salt Lake,01:09.5,"broke out st, faltered",6/3/2017,MTH,6,
6,7/24/2017,AOC-F,5.5,D,6,Lucky for Us,20.2,,Kendrick Carmouche,Carl Deville,Lookin at Lucky,Regal Classic,01:12.2,"3-4w upper, no impact",6/12/2017,PID,2,
9,7/24/2017,MSW-NY,5.5,D,1,Alien Invasion,11.3,,Tyler Gaffalione,Michael Maker,Desert Party,Eltish,01:07.1,"2w,bid 4w 1/8,edge clr",,,,
9,7/24/2017,MSW-NY,5.5,D,2,My Mr. Wonderful,4.8,,Jose Ortiz,"Richard Violette, Jr.",Stonesider,Chester House,01:07.2,"2w,led to ins 1/16",,,,Y
9,7/24/2017,MSW-NY,5.5,D,3,Joe's Smokin Gun,6.4,,Paco Lopez,Timothy Hills,Posse,Tiznow,01:08.5,"vied ins, secured show",7/2/2017,BEL,5,
9,7/24/2017,MSW-NY,5.5,D,4,Royal Power,1.55,Y,Joel Rosario,Gary Gullo,Orb,Southern Halo,01:08.6,"park 4-5w, no impact",,,,
9,7/24/2017,MSW-NY,5.5,D,5,This Cat Can Fly,11.6,,Manuel Franco,Michelle Nevin,Birdstone,Cat Thief,01:09.1,"broke out,2w on turn",6/23/2017,BEL,5,
9,7/24/2017,MSW-NY,5.5,D,6,Fox Strike,4.7,,Florent Geroux,M. Ferraro,Lonhro (AUS),Foxhound,01:09.1,"3w on turn, tired",,,,
9,7/24/2017,MSW-NY,5.5,D,7,Fair Archer,14.5,,Dylan Davis,Gary Sciacca,Arch,Known Fact,01:09.8,"3w top turn, tired",,,,
9,7/24/2017,MSW-NY,5.5,D,8,Cross Multiply,16.4,,Junior Alvarado,Gary Contessa,The Factor,Sunday Break (JPN),01:09.8,save ground no avail,,,,
9,7/24/2017,MSW-NY,5.5,D,9,Buss the Bell,54.25,,Rosario Montanez,Randi Persaud,Teuflesberg,More Than Ready,01:10.1,"2w 1/2pl, outrun",,,,
9,7/24/2017,MSW-NY,5.5,D,10,Bourbonfuhrme,38.5,,Nik Juarez,"Archibald Kingsley, Jr.",Congaree,Langfuhr,01:14.7,"off 1/2 slow,3w 3/8",,,,
6,7/26/2017,MSW-F-NY,5.5,D,1,Trouble for Skylar,0.95,Y,Kendrick Carmouche,Danny Gargan,Into Mischief,French Deputy,01:05.7,"2-3w,ask 1/4,drew off",,,,
